Year,Date,Plot,Treatment,Rep,Family,Genus,Hunting Method,Life Stage,Average Alfalfa Height (cm),Average SS Height (cm),
2022,7/27/2022,A1,Nothing,1,Salticidae,N/A,Mobile,Juvenile,35,N/A,
2022,7/27/2022,A1,Nothing,1,Araneidae,Aranniella,Web,Juvenile,35,N/A,
2022,7/27/2022,A1,Nothing,2,Tetragnathidae,Tetragnatha,Web,Adult,36,N/A,
2022,7/27/2022,A1,Nothing,3,Tetragnathidae,Tetragnatha,Web,Adult,37,N/A,
2022,7/27/2022,A1,Nothing,3,Tetragnathidae,Tetragnatha,Web,Adult,37,N/A,
2022,7/27/2022,A1,Nothing,3,Salticidae,N/A,Mobile,Adult,37,N/A,
2022,7/27/2022,A1,Nothing,3,Salticidae,N/A,Mobile,Adult,37,N/A,
2022,7/27/2022,A2,Stakes + SS,1,Tetragnathidae,Tetragnatha,Web,Adult,21.5,46.5,
2022,7/27/2022,A2,Stakes + SS,2,0,0,0,0,21.5,46.5,
2022,7/27/2022,A2,Stakes + SS,3,Tetragnathidae,Tetragnatha,Web,Adult,21.5,46.5,
2022,7/27/2022,A2,Stakes + SS,3,Tetragnathidae,Tetragnatha,Web,Adult,21.5,46.5,
2022,7/27/2022,A3,Stakes,1,Araneidae,N/A,Web,Juvenile,38,N/A,
2022,7/27/2022,A3,Stakes,1,Araneidae,N/A,Web,Juvenile,38,N/A,
2022,7/27/2022,A3,Stakes,1,Tetragnathidae,Tetragnatha,Web,Adult,38,N/A,
2022,7/27/2022,A3,Stakes,1,Tetragnathidae,Tetragnatha,Web,Adult,38,N/A,
2022,7/27/2022,A3,Stakes,2,Salticidae,N/A,Mobile,Juvenile,39,N/A,
2022,7/27/2022,A3,Stakes,3,Tetragnathidae,Tetragnatha,Web,Adult,40,N/A,
2022,7/27/2022,A3,Stakes,3,Tetragnathidae,Tetragnatha,Web,Adult,40,N/A,
2022,7/27/2022,A4,Stakes + SS,1,Anyphaenidae,Hibana,Mobile,Juvenile,30,50,
2022,7/27/2022,A4,Stakes + SS,1,Araneidae,Aranniella,Web,Juvenile,30,50,
2022,7/27/2022,A4,Stakes + SS,2,Tetragnathidae,Tetragnatha,Web,Adult,30,50,
2022,7/27/2022,A4,Stakes + SS,2,Thomisidae,Misumessus,Mobile,Adult,30,50,
2022,7/27/2022,A4,Stakes + SS,3,Thomisidae,Misumessus,Mobile,Adult,30,50,
2022,7/27/2022,A4,Stakes + SS,3,Tetragnathidae,Tetragnatha,Web,Adult,30,50,
2022,7/27/2022,A4,Stakes + SS,3,Tetragnathidae,Tetragnatha,Web,Adult,30,50,
2022,7/27/2022,A5,Stakes + SS,1,Tetragnathidae,Glenognatha,Web,Juvenile,24,47.5,
2022,7/27/2022,A5,Stakes + SS,2,Thomisidae,Misumenoides,Mobile,Adult,24,47.5,
2022,7/27/2022,A5,Stakes + SS,3,Tetragnathidae,Tetragnatha,Web,Adult,24,47.5,
2022,7/27/2022,A5,Stakes + SS,3,Tetragnathidae,Tetragnatha,Web,Adult,24,47.5,
2022,7/27/2022,A5,Stakes + SS,3,Anyphaenidae,Hibana,Mobile,Adult,24,47.5,
2022,7/27/2022,A5,Stakes + SS,3,Thomisidae,Misumenoides,Mobile,Adult,24,47.5,
2022,7/27/2022,A6,SS,1,Thomisidae,N/A,Mobile,Juvenile,34,57,
2022,7/27/2022,A6,SS,1,Oxyopidae,Oxyopes,Mobile,Juvenile,34,57,
2022,7/27/2022,A6,SS,1,Salticidae,N/A,Mobile,Juvenile,34,57,
2022,7/27/2022,A6,SS,2,Tetragnathidae,Tetragnatha,Web,Adult,34,57,
2022,7/27/2022,A6,SS,2,Thomisidae,Misumessus,Mobile,Adult,34,57,
2022,7/27/2022,A6,SS,2,Salticidae,N/A,Mobile,Juvenile,34,57,
2022,7/27/2022,A6,SS,2,Araneidae,N/A,Web,Juvenile,34,57,
2022,7/27/2022,A6,SS,3,Tetragnathidae,Tetragnatha,Web,Adult,34,57,
2022,7/27/2022,A6,SS,3,Salticidae,N/A,Mobile,Adult,34,57,
2022,7/27/2022,A7,Stakes,1,Tetragnathidae,Tetragnatha,Web,Adult,34.5,N/A,
2022,7/27/2022,A7,Stakes,1,Thomisidae,Misumessus,Mobile,Adult,34.5,N/A,
2022,7/27/2022,A7,Stakes,1,Anyphaenidae,Hibana,Mobile,Juvenile,34.5,N/A,
2022,7/27/2022,A7,Stakes,2,Araneidae,N/A,Web,Juvenile,35.5,N/A,
2022,7/27/2022,A7,Stakes,2,Araneidae,N/A,Web,Juvenile,35.5,N/A,
2022,7/27/2022,A7,Stakes,3,Linyphiidae,N/A,Web,Adult,36.5,N/A,
2022,7/27/2022,A7,Stakes,3,Tetragnathidae,Tetragnatha,Web,Adult,36.5,N/A,
2022,7/27/2022,A7,Stakes,3,Araneidae,N/A,Web,Juvenile,36.5,N/A,
2022,7/27/2022,A8,Nothing,1,Tetragnathidae,Tetragnatha,Web,Adult,36,N/A,
2022,7/27/2022,A8,Nothing,1,Tetragnathidae,Tetragnatha,Web,Adult,36,N/A,
2022,7/27/2022,A8,Nothing,1,Tetragnathidae,Tetragnatha,Web,Adult,36,N/A,
2022,7/27/2022,A8,Nothing,1,Tetragnathidae,Tetragnatha,Web,Adult,36,N/A,
2022,7/27/2022,A8,Nothing,1,Tetragnathidae,Tetragnatha,Web,Adult,36,N/A,
2022,7/27/2022,A8,Nothing,1,Linyphiidae,N/A,Web,Adult,36,N/A,
2022,7/27/2022,A8,Nothing,2,Tetragnathidae,Tetragnatha,Web,Adult,37,N/A,
2022,7/27/2022,A8,Nothing,2,Linyphiidae,N/A,Web,Adult,37,N/A,
2022,7/27/2022,A8,Nothing,2,Tetragnathidae,Tetragnatha,Web,Adult,37,N/A,
2022,7/27/2022,A8,Nothing,2,Tetragnathidae,Tetragnatha,Web,Adult,37,N/A,
2022,7/27/2022,A8,Nothing,2,Tetragnathidae,Tetragnatha,Web,Adult,37,N/A,
2022,7/27/2022,A8,Nothing,3,Thomisidae,Misumessus,Mobile,Adult,38,N/A,
2022,7/27/2022,B1,SS,1,0,0,0,0,26.5,40,
2022,7/27/2022,B1,SS,2,Linyphiidae,N/A,Web,Adult,26.5,40,
2022,7/27/2022,B1,SS,3,Tetragnathidae,Tetragnatha,Web,Adult,26.5,40,
2022,7/27/2022,B1,SS,3,Tetragnathidae,Tetragnatha,Web,Adult,26.5,40,
2022,7/27/2022,B1,SS,3,Thomisidae,Misumessus,Mobile,Adult,26.5,40,
2022,7/27/2022,B2,SS,1,Araneidae,N/A,Web,Adult,26,44,
2022,7/27/2022,B2,SS,1,Tetragnathidae,Tetragnatha,Web,Adult,26,44,
2022,7/27/2022,B2,SS,1,Thomisidae,Misumessus,Mobile,Adult,26,44,
2022,7/27/2022,B2,SS,2,Tetragnathidae,Tetragnatha,Web,Adult,26,44,
2022,7/27/2022,B2,SS,3,Tetragnathidae,Tetragnatha,Web,Adult,26,44,
2022,7/27/2022,B2,SS,3,Tetragnathidae,Tetragnatha,Web,Adult,26,44,
2022,7/27/2022,B2,SS,3,Tetragnathidae,Tetragnatha,Web,Adult,26,44,
2022,7/27/2022,B3,SS,1,Tetragnathidae,Tetragnatha,Web,Adult,31,N/A,
2022,7/27/2022,B3,SS,2,Tetragnathidae,Tetragnatha,Web,Adult,32,N/A,
2022,7/27/2022,B3,SS,2,Tetragnathidae,Tetragnatha,Web,Adult,32,N/A,
2022,7/27/2022,B3,SS,3,0,0,0,0,33,N/A,
2022,7/27/2022,B4,Nothing,1,Thomisidae,Misumessus,Mobile,Adult,31,44,
2022,7/27/2022,B4,Nothing,2,0,0,0,0,31,44,
2022,7/27/2022,B4,Nothing,3,Lycosidae,N/A,Mobile,Adult,31,44,
2022,7/27/2022,B4,Nothing,3,Tetragnathidae,Tetragnatha,Web,Adult,31,44,
2022,7/27/2022,B4,Nothing,3,Tetragnathidae,Tetragnatha,Web,Adult,31,44,
2022,7/27/2022,B5,SS,1,Tetragnathidae,Tetragnatha,Web,Adult,34.5,45,
2022,7/27/2022,B5,SS,1,Linyphiidae,N/A,Web,Adult,34.5,45,
2022,7/27/2022,B5,SS,1,Linyphiidae,N/A,Web,Adult,34.5,45,
2022,7/27/2022,B5,SS,1,Araneidae,Aranniella,Web,Adult,34.5,45,
2022,7/27/2022,B5,SS,2,Tetragnathidae,Tetragnatha,Web,Adult,34.5,45,
2022,7/27/2022,B5,SS,2,Tetragnathidae,Tetragnatha,Web,Juvenile,34.5,45,
2022,7/27/2022,B5,SS,2,Araneidae,N/A,Web,Adult,34.5,45,
2022,7/27/2022,B5,SS,3,Tetragnathidae,Tetragnatha,Web,Adult,34.5,45,
2022,7/27/2022,B5,SS,3,Tetragnathidae,Tetragnatha,Web,Adult,34.5,45,
2022,7/27/2022,B6,Stakes + SS,1,Tetragnathidae,Tetragnatha,Web,Adult,25.5,45,
2022,7/27/2022,B6,Stakes + SS,1,Tetragnathidae,Tetragnatha,Web,Adult,25.5,45,
2022,7/27/2022,B6,Stakes + SS,1,Linyphiidae,N/A,Web,Adult,25.5,45,
2022,7/27/2022,B6,Stakes + SS,2,Thomisidae,Misumessus,Web,Adult,25.5,45,
2022,7/27/2022,B6,Stakes + SS,2,Linyphiidae,N/A,Web,Adult,25.5,45,
2022,7/27/2022,B6,Stakes + SS,2,Linyphiidae,N/A,Web,Adult,25.5,45,
2022,7/27/2022,B6,Stakes + SS,2,Thomisidae,Misumena ,Mobile,Adult,25.5,45,
2022,7/27/2022,B6,Stakes + SS,3,Unidentified,N/A,N/A,Juvenile,25.5,45,
2022,7/27/2022,B7,Nothing,1,Thomisidae,Misumessus,Mobile,Adult,35,N/A,
2022,7/27/2022,B7,Nothing,2,0,0,0,0,36,N/A,
2022,7/27/2022,B7,Nothing,3,Tetragnathidae,Tetragnatha,Web,Adult,37,N/A,
2022,7/27/2022,B7,Nothing,3,Salticidae,N/A,Mobile,Juvenile,37,N/A,
2022,7/27/2022,B8,Stakes + SS,1,Tetragnathidae,Tetragnatha,Web,Adult,40,43,
2022,7/27/2022,B8,Stakes + SS,1,Thomisidae,N/A,Mobile,Juvenile,40,43,
2022,7/27/2022,B8,Stakes + SS,1,Thomisidae,Misumessus,Mobile,Adult,40,43,
2022,7/27/2022,B8,Stakes + SS,2,Araneidae,N/A,Web,Juvenile,40,43,
2022,7/27/2022,B8,Stakes + SS,2,Theridiidae,Theridula,Web,Adult,40,43,
2022,7/27/2022,B8,Stakes + SS,2,Oxyopidae,Oxyopes,Mobile,Adult,40,43,
2022,7/27/2022,B8,Stakes + SS,3,Tetragnathidae,Tetragnatha,Web,Adult,40,43,
2022,7/27/2022,C1,Stakes + SS,1,Tetragnathidae,Tetragnatha,Web,Adult,30,40,
2022,7/27/2022,C1,Stakes + SS,1,Tetragnathidae,Tetragnatha,Web,Adult,30,40,
2022,7/27/2022,C1,Stakes + SS,1,Tetragnathidae,Tetragnatha,Web,Adult,30,40,
2022,7/27/2022,C1,Stakes + SS,1,Tetragnathidae,Tetragnatha,Web,Juvenile,30,40,
2022,7/27/2022,C1,Stakes + SS,1,Thomisidae,Misumenoides,Mobile,Juvenile,30,40,
2022,7/27/2022,C1,Stakes + SS,1,Thomisidae,Misumenoides,Mobile,Juvenile,30,40,
2022,7/27/2022,C1,Stakes + SS,1,Tetragnathidae,N/A,Web,Juvenile,30,40,
2022,7/27/2022,C1,Stakes + SS,2,Tetragnathidae,Tetragnatha,Web,Adult,30,40,
2022,7/27/2022,C1,Stakes + SS,2,Tetragnathidae,Tetragnatha,Web,Adult,30,40,
2022,7/27/2022,C1,Stakes + SS,2,Tetragnathidae,Tetragnatha,Web,Adult,30,40,
2022,7/27/2022,C1,Stakes + SS,2,Theridosomatidae,Theridosoma,Web,Adult,30,40,
2022,7/27/2022,C1,Stakes + SS,2,Thomisidae,Misumenoides,Mobile,Juvenile,30,40,
2022,7/27/2022,C1,Stakes + SS,2,Tetragnathidae,Glenognatha,Web,Juvenile,30,40,
2022,7/27/2022,C1,Stakes + SS,3,Tetragnathidae,Tetragnatha,Web,Adult,30,40,
2022,7/27/2022,C1,Stakes + SS,3,Tetragnathidae,Tetragnatha,Web,Adult,30,40,
2022,7/27/2022,C1,Stakes + SS,3,Theridosomatidae,Theridosoma,Web,Adult,30,40,
2022,7/27/2022,C2,Stakes,1,Tetragnathidae,Tetragnatha,Web,Adult,29.5,N/A,
2022,7/27/2022,C2,Stakes,1,Tetragnathidae,Tetragnatha,Web,Adult,29.5,N/A,
2022,7/27/2022,C2,Stakes,1,Salticidae,Sassacus,Mobile,Adult,29.5,N/A,
2022,7/27/2022,C2,Stakes,1,Salticidae,Sassacus,Mobile,Adult,29.5,N/A,
2022,7/27/2022,C2,Stakes,1,Tetragnathidae,Glenognatha,Web,Juvenile,29.5,N/A,
2022,7/27/2022,C2,Stakes,1,Tetragnathidae,Glenognatha,Web,Juvenile,29.5,N/A,
2022,7/27/2022,C2,Stakes,2,Tetragnathidae,Tetragnatha,Web,Adult,30.5,N/A,
2022,7/27/2022,C2,Stakes,2,Tetragnathidae,Tetragnatha,Web,Adult,30.5,N/A,
2022,7/27/2022,C2,Stakes,2,Tetragnathidae,Tetragnatha,Web,Adult,30.5,N/A,
2022,7/27/2022,C2,Stakes,2,Tetragnathidae,Pachygnatha,Web,Adult,30.5,N/A,
2022,7/27/2022,C2,Stakes,2,Salticidae,Sassicus,Mobile,Adult,30.5,N/A,
2022,7/27/2022,C2,Stakes,2,Thomisidae,Misumenoides ,Mobile,Juvenile,30.5,N/A,
2022,7/27/2022,C2,Stakes,3,Tetragnathidae,Tetragnatha,Web,Adult,31.5,N/A,
2022,7/27/2022,C2,Stakes,3,Tetragnathidae,N/A,Web,Juvenile,31.5,N/A,
2022,7/27/2022,C2,Stakes,3,Anyphaenidae,Hibana,Mobile,Juvenile,31.5,N/A,
2022,7/27/2022,C3,SS,1,Tetragnathidae,Tetragnatha,Web,Adult,29,43,
2022,7/27/2022,C3,SS,1,Salticidae,N/A,Mobile,Juvenile,29,43,
2022,7/27/2022,C3,SS,2,Tetragnathidae,Tetragnatha,Web,Adult,29,43,
2022,7/27/2022,C3,SS,2,Tetragnathidae,Tetragnatha,Web,Adult,29,43,
2022,7/27/2022,C3,SS,2,Thomisidae,Misumenoides,Mobile,Adult,29,43,
2022,7/27/2022,C3,SS,3,Tetragnathidae,Tetragnatha,Web,Adult,29,43,
2022,7/27/2022,C3,SS,3,Theridosomatidae,Theridosoma,Web,Adult,29,43,
2022,7/27/2022,C4,Stakes,1,Tetragnathidae,Tetragnatha,Web,Adult,40.5,N/A,
2022,7/27/2022,C4,Stakes,1,Thomisidae,Misumenoides,Mobile,Adult,40.5,N/A,
2022,7/27/2022,C4,Stakes,1,Thomisidae,Misumenoides,Mobile,Adult,40.5,N/A,
2022,7/27/2022,C4,Stakes,1,Thomisidae,Misumenoides,Mobile,Adult,40.5,N/A,
2022,7/27/2022,C4,Stakes,1,Thomisidae,Misumenoides,Mobile,Juvenile,40.5,N/A,
2022,7/27/2022,C4,Stakes,1,Thomisidae,Misumenoides,Mobile,Juvenile,40.5,N/A,
2022,7/27/2022,C4,Stakes,1,Tetragnathidae,Glenognatha,Web,Adult,40.5,N/A,
2022,7/27/2022,C4,Stakes,1,Linyphiidae,N/A,Web,Adult,40.5,N/A,
2022,7/27/2022,C4,Stakes,2,Salticidae,Sassicus,Mobile,Adult,41.5,N/A,
2022,7/27/2022,C4,Stakes,2,Tetragnathidae,Pachygnatha,Web,Juvenile,41.5,N/A,
2022,7/27/2022,C4,Stakes,2,Thomisidae,Misumenoides,Mobile,Juvenile,41.5,N/A,
2022,7/27/2022,C4,Stakes,2,Thomisidae,Misumenoides,Mobile,Adult,41.5,N/A,
2022,7/27/2022,C4,Stakes,2,Tetragnathidae,Glenognatha,Web,Juvenile,41.5,N/A,
2022,7/27/2022,C4,Stakes,2,Tetragnathidae,Glenognatha,Web,Juvenile,41.5,N/A,
2022,7/27/2022,C4,Stakes,2,Mysmenidae,Mysmena,Web,Juvenile,41.5,N/A,
2022,7/27/2022,C4,Stakes,2,Mysmenidae,Mysmena,Web,Juvenile,41.5,N/A,
2022,7/27/2022,C4,Stakes,3,Tetragnathidae,Tetragnatha,Web,Adult,42.5,N/A,
2022,7/27/2022,C4,Stakes,3,Tetragnathidae,Tetragnatha,Web,Adult,42.5,N/A,
2022,7/27/2022,C4,Stakes,3,Tetragnathidae,Tetragnatha,Web,Adult,42.5,N/A,
2022,7/27/2022,C5,Stakes,1,Tetragnathidae,Tetragnatha,Web,Adult,36.5,N/A,
2022,7/27/2022,C5,Stakes,1,Tetragnathidae,Tetragnatha,Web,Adult,36.5,N/A,
2022,7/27/2022,C5,Stakes,1,Tetragnathidae,Tetragnatha,Web,Adult,36.5,N/A,
2022,7/27/2022,C5,Stakes,1,Tetragnathidae,Tetragnatha,Web,Adult,36.5,N/A,
2022,7/27/2022,C5,Stakes,1,Thomisidae,Misumenoides,Mobile,Adult,36.5,N/A,
2022,7/27/2022,C5,Stakes,1,Thomisidae,Misumenoides,Mobile,Adult,36.5,N/A,
2022,7/27/2022,C5,Stakes,1,Thomisidae,Misumenoides,Mobile,Adult,36.5,N/A,
2022,7/27/2022,C5,Stakes,1,Tetragnathidae,Pachygnatha,Web,Adult,36.5,N/A,
2022,7/27/2022,C5,Stakes,1,Tetragnathidae,Glenognatha,Web,Juvenile,36.5,N/A,
2022,7/27/2022,C5,Stakes,2,Tetragnathidae,Glenognatha,Web,Juvenile,37.5,N/A,
2022,7/27/2022,C5,Stakes,2,Tetragnathidae,Glenognatha,Web,Juvenile,37.5,N/A,
2022,7/27/2022,C5,Stakes,2,Tetragnathidae,Tetragnatha,Web,Adult,37.5,N/A,
2022,7/27/2022,C5,Stakes,2,Tetragnathidae,Tetragnatha,Web,Adult,37.5,N/A,
2022,7/27/2022,C5,Stakes,2,Tetragnathidae,Tetragnatha,Web,Adult,37.5,N/A,
2022,7/27/2022,C5,Stakes,2,Thomisidae,N/A,Mobile,Juvenile,37.5,N/A,
2022,7/27/2022,C5,Stakes,2,Araneidae,Mastophora,Web,Adult,37.5,N/A,
2022,7/27/2022,C5,Stakes,3,Tetragnathidae,Tetragnatha,Web,Adult,38.5,N/A,
2022,7/27/2022,C5,Stakes,3,Tetragnathidae,Tetragnatha,Web,Adult,38.5,N/A,
2022,7/27/2022,C5,Stakes,3,Thomisidae,N/A,Mobile,Juvenile,38.5,N/A,
2022,7/27/2022,C5,Stakes,3,Thomisidae,N/A,Mobile,Juvenile,38.5,N/A,
2022,7/27/2022,C5,Stakes,3,Anyphaenidae,Hibana,Mobile,Juvenile,38.5,N/A,
2022,7/27/2022,C6,Stakes + SS,1,Thomisidae,Misumenoides,Mobile,Adult,27,45.5,
2022,7/27/2022,C6,Stakes + SS,1,Thomisidae,Misumenoides,Mobile,Adult,27,45.5,
2022,7/27/2022,C6,Stakes + SS,1,Thomisidae,Misumenoides,Mobile,Juvenile,27,45.5,
2022,7/27/2022,C6,Stakes + SS,1,Thomisidae,Misumenoides,Mobile,Juvenile,27,45.5,
2022,7/27/2022,C6,Stakes + SS,1,Tetragnathidae,Tetragnatha,Web,Adult,27,45.5,
2022,7/27/2022,C6,Stakes + SS,1,Salticidae,Sibianor,Mobile,Adult,27,45.5,
2022,7/27/2022,C6,Stakes + SS,1,Anyphaenidae,Hibana,Mobile,Juvenile,27,45.5,
2022,7/27/2022,C6,Stakes + SS,2,Tetragnathidae,Tetragnatha,Web,Adult,27,45.5,
2022,7/27/2022,C6,Stakes + SS,2,Tetragnathidae,Tetragnatha,Web,Adult,27,45.5,
2022,7/27/2022,C6,Stakes + SS,2,Tetragnathidae,Pachygnatha,Web,Adult,27,45.5,
2022,7/27/2022,C6,Stakes + SS,2,Tetragnathidae,Pachygnatha,Web,Adult,27,45.5,
2022,7/27/2022,C6,Stakes + SS,2,Thomisidae,Misumenoides,Mobile,Juvenile,27,45.5,
2022,7/27/2022,C6,Stakes + SS,2,Salticidae,Sassacus,Mobile,Adult,27,45.5,
2022,7/27/2022,C6,Stakes + SS,3,Tetragnathidae,Tetragnatha,Web,Adult,27,45.5,
2022,7/27/2022,C6,Stakes + SS,3,Tetragnathidae,Tetragnatha,Web,Adult,27,45.5,
2022,7/27/2022,C6,Stakes + SS,3,Mysmenidae,Mysmena,Web,Juvenile,27,45.5,
2022,7/27/2022,C7,Nothing,1,Tetragnathidae,Tetragnatha,Web,Adult,32.5,N/A,
2022,7/27/2022,C7,Nothing,1,Thomisidae,Misumenoidies,Mobile,Adult,32.5,N/A,
2022,7/27/2022,C7,Nothing,1,Thomisidae,Misumenoidies,Mobile,Adult,32.5,N/A,
2022,7/27/2022,C7,Nothing,1,Lycosidae,N/A,Mobile,Adult,32.5,N/A,
2022,7/27/2022,C7,Nothing,1,Tetragnathidae,Glenognatha,Web,Juvenile,32.5,N/A,
2022,7/27/2022,C7,Nothing,1,Linyphiidae,N/A,Web,Adult,32.5,N/A,
2022,7/27/2022,C7,Nothing,2,Tetragnathidae,Tetragnatha,Web,Adult,33.5,N/A,
2022,7/27/2022,C7,Nothing,2,Thomisidae,Misumenoidies,Mobile,Juvenile,33.5,N/A,
2022,7/27/2022,C7,Nothing,2,Tetragnathidae,Pachygnatha,Web,Juvenile,33.5,N/A,
2022,7/27/2022,C7,Nothing,2,Tetragnathidae,Pachygnatha,Web,Adult,33.5,N/A,
2022,7/27/2022,C7,Nothing,3,Tetragnathidae,Tetragnatha,Web,Adult,34.5,N/A,
2022,7/27/2022,C7,Nothing,3,Tetragnathidae,Pachygnatha,Web,Adult,34.5,N/A,
2022,7/27/2022,C7,Nothing,3,Thomisidae,Misumenoidies,Mobile,Juvenile,34.5,N/A,
2022,7/27/2022,C7,Nothing,3,Linyphiidae,N/A,Web,Adult,34.5,N/A,
2022,7/27/2022,C7,Nothing,3,Salticidae,Sassacus,Mobile,Adult,34.5,N/A,
2022,7/27/2022,C8,Stakes,1,Tetragnathidae,Tetragnatha,Web,Adult,35,N/A,
2022,7/27/2022,C8,Stakes,1,Tetragnathidae,Tetragnatha,Web,Adult,35,N/A,
2022,7/27/2022,C8,Stakes,1,Tetragnathidae,Tetragnatha,Web,Adult,35,N/A,
2022,7/27/2022,C8,Stakes,1,Tetragnathidae,Tetragnatha,Web,Adult,35,N/A,
2022,7/27/2022,C8,Stakes,1,Tetragnathidae,Pachygnatha,Web,Adult,35,N/A,
2022,7/27/2022,C8,Stakes,1,Tetragnathidae,Pachygnatha,Web,Adult,35,N/A,
2022,7/27/2022,C8,Stakes,2,Tetragnathidae,Pachygnatha,Web,Adult,36,N/A,
2022,7/27/2022,C8,Stakes,2,Tetragnathidae,Glenognatha,Web,Juvenile,36,N/A,
2022,7/27/2022,C8,Stakes,2,Tetragnathidae,Tetragnatha,Web,Adult,36,N/A,
2022,7/27/2022,C8,Stakes,2,Thomisidae,Misumenoidies,Mobile,Juvenile,36,N/A,
2022,7/27/2022,C8,Stakes,2,Thomisidae,Misumenoidies,Mobile,Juvenile,36,N/A,
2022,7/27/2022,C8,Stakes,2,Thomisidae,Misumenoidies,Mobile,Juvenile,36,N/A,
2022,7/27/2022,C8,Stakes,2,Thomisidae,Misumenoidies,Mobile,Juvenile,36,N/A,
2022,7/27/2022,C8,Stakes,2,Linyphiidae,N/A,Web,Adult,36,N/A,
2022,7/27/2022,C8,Stakes,3,Thomisidae,Misumenoidies,Mobile,Juvenile,37,N/A,
2022,7/27/2022,D1,Stakes,1,Tetragnathidae,Tetragnatha,Web,Adult,30,N/A,
2022,7/27/2022,D1,Stakes,1,Tetragnathidae,Tetragnatha,Web,Adult,30,N/A,
2022,7/27/2022,D1,Stakes,1,Tetragnathidae,Tetragnatha,Web,Adult,30,N/A,
2022,7/27/2022,D1,Stakes,1,Tetragnathidae,Tetragnatha,Web,Adult,30,N/A,
2022,7/27/2022,D1,Stakes,1,Tetragnathidae,Tetragnatha,Web,Adult,30,N/A,
2022,7/27/2022,D1,Stakes,1,Tetragnathidae,Tetragnatha,Web,Juvenile,30,N/A,
2022,7/27/2022,D1,Stakes,1,Salticidae,Sassacus,Mobile,Adult,30,N/A,
2022,7/27/2022,D1,Stakes,1,Salticidae,Sassacus,Mobile,Adult,30,N/A,
2022,7/27/2022,D1,Stakes,1,Linyphiidae,N/A,Web,Juvenile,30,N/A,
2022,7/27/2022,D1,Stakes,1,Linyphiidae,N/A,Web,Juvenile,30,N/A,
2022,7/27/2022,D1,Stakes,1,Thomisidae,Misumenoidies,Mobile,Adult,30,N/A,
2022,7/27/2022,D1,Stakes,2,Tetragnathidae,Tetragnatha,Web,Adult,31,N/A,
2022,7/27/2022,D1,Stakes,2,Tetragnathidae,Tetragnatha,Web,Adult,31,N/A,
2022,7/27/2022,D1,Stakes,2,Tetragnathidae,Pachygnatha,Web,Juvenile,31,N/A,
2022,7/27/2022,D1,Stakes,2,Thomisidae,N/A,Mobile,Juvenile,31,N/A,
2022,7/27/2022,D1,Stakes,2,Thomisidae,N/A,Mobile,Juvenile,31,N/A,
2022,7/27/2022,D1,Stakes,2,Linyphiidae,N/A,Web,Adult,31,N/A,
2022,7/27/2022,D1,Stakes,2,Linyphiidae,N/A,Web,Adult,31,N/A,
2022,7/27/2022,D1,Stakes,2,Linyphiidae,N/A,Web,Adult,31,N/A,
2022,7/27/2022,D1,Stakes,2,Linyphiidae,N/A,Web,Adult,31,N/A,
2022,7/27/2022,D1,Stakes,2,Unidentified,N/A,Web,Juvenile,31,N/A,
2022,7/27/2022,D1,Stakes,2,Theridosomatidae,Theridosoma,Web,Adult,31,N/A,
2022,7/27/2022,D1,Stakes,3,Mysmenidae,N/A,Web,Juvenile,32,N/A,
